Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Accelerator Program Type,Accelerator Duration (in weeks)
Draper Associates,https://www.crunchbase.com/organization/draper-associates-2,201,31,"Menlo Park, California, United States","Draper Associates, founded in 1985, is a seed-stage venture capital firm.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",154,,
Sofinnova Ventures,https://www.crunchbase.com/organization/sofinnova-ventures,200,71,"Menlo Park, California, United States","Since 1974, Sofinnova Ventures has partnered with entrepreneurs to secure initial funding, build successful teams, win key customers, and",Venture Capital,"Early Stage Venture, Late Stage Venture",118,,
FirstMark,https://www.crunchbase.com/organization/firstmark-capital,199,23,"New York, New York, United States",Early stage VC firm based in New York,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",96,,
"HWVP, Hummer Winblad Venture Partners",https://www.crunchbase.com/organization/hummer-winblad-venture-partners,198,49,"San Francisco, California, United States",Hummer Winblad Venture Partners is a California-based venture capital firm that invests in early-stage enterprise software companies.,Venture Capital,Early Stage Venture,88,,
Flagship Pioneering,https://www.crunchbase.com/organization/flagship-ventures,193,46,"Cambridge, Massachusetts, United States","Leading firm that conceives, creates, resources and grows first-in-category ventures to transform human health and sustainability.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",88,,
Correlation Ventures,https://www.crunchbase.com/organization/correlation-ventures,192,21,"San Diego, California, United States","Correlation Ventures finances early, seed, and later stage venture, and debt financing investments and is based in California.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Seed",126,,
Maveron,https://www.crunchbase.com/organization/maveron,192,30,"San Francisco, California, United States",Maveron funds seed and Series A companies that empower consumers to live on their terms. Based in SF and Seattle and invest coast-to-coast.,Venture Capital,"Early Stage Venture, Seed",121,,
Cisco,https://www.crunchbase.com/organization/cisco,192,78,"San Jose, California, United States","Cisco develops, manufactures, and sells networking hardware, telecommunications equipment, and other high-technology services and products.",,,149,,
Morado Venture Partners,https://www.crunchbase.com/organization/morado-ventures-partners,190,25,"Palo Alto, California, United States","Morado Venture Partners will focus on early-stage start-ups in the Internet consumer arena, as well as in the platform space.",Micro VC,"Early Stage Venture, Seed",101,,
The Carlyle Group,https://www.crunchbase.com/organization/carlyle-group,187,62,"Washington, District of Columbia, United States",The Carlyle Group is a Washington-based private equity firm that caters to early and later stage companies.,Private Equity Firm,"Early Stage Venture, Late Stage Venture, Private Equity",141,,
MPM Capital,https://www.crunchbase.com/organization/mpm-capital,186,55,"Cambridge, Massachusetts, United States","MPM Capital caters to the healthcare sector with seed, early, and later stage venture, and private equity investments.",Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",97,,
Edison Partners,https://www.crunchbase.com/organization/edison-ventures,186,45,"Princeton, New Jersey, United States",Edison Partners is a growth equity firm that focuses on technology-enabled solutions in the Eastern United States.,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity",122,,
Western Technology Investment,https://www.crunchbase.com/organization/western-technology-investment,186,52,"Portola Valley, California, United States",Western Technology Investment is a venture capital firm that specializes in offering acquisition financing to revenue generating firms.,Venture Capital,"Debt, Early Stage Venture, Grant, Late Stage Venture, Private Equity, Seed",157,,
Scale Venture Partners,https://www.crunchbase.com/organization/scale-venture-partners,185,51,"Foster City, California, United States",Scale Venture Partners is a VC firm that invests in enterprise technology companies with a focus on SaaS and cloud infrastructure.,Venture Capital,"Early Stage Venture, Late Stage Venture",101,,
SV Health Investors,https://www.crunchbase.com/organization/sv-life-sciences,185,31,"Boston, Massachusetts, United States",SV Health Investors is a Boston-based venture capital firm focused on investments in biotechnology and healthcare industry.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture",85,,
StartX,https://www.crunchbase.com/organization/stanfordstartx-fund,184,8,"Palo Alto, California, United States",StartX is an educational non-profit that helps Stanford's top entrepreneurs.,Accelerator,"Early Stage Venture, Non Equity Assistance, Seed",159,,
Ben Franklin Technology Partners of Northeastern Pennsylvania,https://www.crunchbase.com/organization/ben-franklin-technology-partners-of-northeast-pennsylvania,183,5,"Bethlehem, Pennsylvania, United States",The Ben Franklin Technology Partners of Northeastern Pennsylvania (BFTP/NEP) is part of a state-funded economic development initiative.,Government Office,"Debt, Early Stage Venture, Grant, Late Stage Venture, Seed",105,,
Houston Angel Network,https://www.crunchbase.com/organization/houston-angel-network,183,14,"Houston, Texas, United States",Houston Angel Network provides capital to early-stage companies in Texas and the rest of the US.,Angel Group,Seed,113,,
AME Cloud Ventures,https://www.crunchbase.com/organization/ame-cloud-ventures,182,21,"Palo Alto, California, United States",AME Cloud Ventures invests in seed to later-stage tech companies that build infrastructure and value chains around data.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",135,,
Apax Partners,https://www.crunchbase.com/organization/apax-partners,182,75,"New York, New York, United States","Apax Partners invests in leveraged and management buy-outs, growth capital and late venture funds.",Private Equity Firm,"Early Stage Venture, Late Stage Venture, Seed",123,,
VTF Capital,https://www.crunchbase.com/organization/vegastechfund,180,19,"Santa Monica, California, United States",VTF Capital is a seed-stage venture fund that finances vertical commerce and physical retail technology companies.,Micro VC,"Early Stage Venture, Seed",129,,
Icon Ventures,https://www.crunchbase.com/organization/iconventures,179,56,"Palo Alto, California, United States",Icon Ventures is a specialty venture capital firm focused on leading Series B or C financings.,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",105,,
BioAdvance,https://www.crunchbase.com/organization/bioadvance,179,14,"Philadelphia, Pennsylvania, United States","Founded in 2003, BioAdvance provides funding to life sciences startups and is a Pennsylvania-based venture capital firm.",Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",83,,
Storm Ventures,https://www.crunchbase.com/organization/storm-ventures,178,35,"Menlo Park, California, United States",Storm Ventures is a $600m (TAM) VC firm 100% focused solely on early-stage enterprise investments.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed",98,,
Alliance of Angels,https://www.crunchbase.com/organization/alliance-of-angels,177,32,"Seattle, Washington, United States","We are a group of 140+ active angel investors. Each year, we invest $10M+ into 20+ startups and provide mentorship to help them succeed.",Angel Group,"Early Stage Venture, Seed",141,,
Serra Ventures,https://www.crunchbase.com/organization/serra-ventures,176,7,"Champaign, Illinois, United States",Serra Ventures is an early stage venture capital firm investing in technology companies in emerging Midwest technology centers,Venture Capital,Early Stage Venture,67,,
TEEC Angel Fund,https://www.crunchbase.com/organization/teec-angel-fund,176,16,"Los Altos, California, United States",TEEC Angel Fund provides seed and early stage venture investments and is based in California.,Venture Capital,"Early Stage Venture, Seed",153,,
Pritzker Group Venture Capital,https://www.crunchbase.com/organization/pritzker-group-venture-capital,173,27,"Chicago, Illinois, United States",Pritzker Group Venture Capital is a trusted partner helping entrepreneurs build market-leading technology companies,Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",122,,
Globespan Capital Partners,https://www.crunchbase.com/organization/globespan-capital-partners,173,48,"Palo Alto, California, United States",Globespan Capital Partners is a California-based venture capital firm that finances startups in the IT industry.,Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",85,,
Walden International,https://www.crunchbase.com/organization/walden-international,172,48,"San Francisco, California, United States","A venture capital firm with over $1.6 billion in investments, Walden international had offices globally and invests in four sectors:",Venture Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",106,,
Columbia Capital,https://www.crunchbase.com/organization/columbia-capital,171,43,"Alexandria, Virginia, United States","Columbia Capital is a venture capital franchise in wireless, broadband, media, and enterprise information technology investing.",Venture Capital,"Debt, Early Stage Venture, Late Stage Venture, Private Equity",90,,
In-Q-Tel,https://www.crunchbase.com/organization/in-q-tel,171,52,"Arlington, Virginia, United States",In-Q-Tel identifies and partners with companies developing cutting-edge technologies to help deliver these solutions to the Central,Government Office,"Debt, Early Stage Venture, Grant, Late Stage Venture, Seed",134,,
